Date,Year,Earnings,CPI,Hourly,SP500,GDP,Nasdaq,Wages,Dow,MedInc
1/1/1964,1964,1,1,1,1,1,1,1,1,1
2/1/1964,1964,0.014742015,-0.001079914,0.007853403,0.012295618,0,0,0.012619267,0.018845222,0
3/1/1964,1964,0.012106538,0.001081081,0.004,0.018219408,0,0,0.005167173,0.01643483,0
4/1/1964,1964,0.011961722,0.001079914,0.006591815,0.014467005,0.013215451,0,0.006652555,-0.003097803,0
5/1/1964,1964,0.011820331,0,0,0.009757318,0,0,0.00600781,0.012074625,0
6/1/1964,1964,0.011682243,0.002157497,0.003968254,-0.005946482,0,0,0.005374739,0.010064188,0
7/1/1964,1964,0.011547344,0.002152853,0.003952569,0.037138584,0.019681025,0,0.007128007,0.00839286,0
8/1/1964,1964,0.00913242,-0.001074114,0.001336135,-0.014659938,0,0,0.007667355,1.42933E-06,0
9/1/1964,1964,0.011312217,0.002150538,0.003921569,0.017195122,0,0,0.004975124,0.040743081,0
10/1/1964,1964,0.006711409,0.001072961,-0.00390625,0.017264117,0.007641276,0,-0.000291206,-0.00261628,0
11/1/1964,1964,0.004444444,0.002143623,0.006529157,0.006953447,0,0,0.009321293,-0.000563184,0
12/1/1964,1964,0.006637168,0.001069519,0.010423413,-0.017322097,0,0,0.010966811,-0.001485219,0
1/1/1965,1965,0.008791209,0,0,0.025726536,0.029356722,0,0.001712818,0.032866914,0
2/1/1965,1965,0.010893246,0,0.003875969,0.007315374,0,0,0.005414648,0.000686651,0
3/1/1965,1965,0.00862069,0.001068376,0.007722008,0.00092219,0,0,0.005385488,-0.01917565,0
4/1/1965,1965,0.010683761,0.003201708,-0.003831418,0.013129103,0.017276641,0,0.004228926,0.03414676,0
5/1/1965,1965,0.012684989,0.00212766,0.010296164,0.01489144,0,0,0.009264458,-0.004630172,0
6/1/1965,1965,0.010438413,0.005307856,-0.001357519,-0.047491039,0,0,0.004172462,-0.060443142,0
7/1/1965,1965,0.010330579,0.001055966,0,-0.001528692,0.026201364,0,0.007479224,0.015794385,0
8/1/1965,1965,0.008179959,-0.002109705,0.001201757,0.018607938,0,0,0.006598845,0.012884598,0
9/1/1965,1965,0.010141988,0.002114165,0.00639512,0.033414268,0,0,0.007375034,0.041965991,0
